text,source,lang
Aid sought for storm damage Officials yesterday sought international help to rebuild villages ravaged by back-to-back storms that left 566 persons dead and 546 missing in mostly poor northern agricultural regions.,ag_news:world,en
"Basque group sets off 7 explosions in Spain MADRID The Basque separatist group ETA struck Monday for the second time in days, exploding seven small bombs in seven cities throughout Spain, the Interior Ministry said.",ag_news:world,en
"France #39;s Ban on Head Scarves Put to Test PARIS Sept. 2, 2004 - France #39;s bold effort to reign in Muslim fundamentalism was put to the test Thursday, with a new law that bans students from wearing Islamic head scarves taking force with the start of the school year.",ag_news:world,en
EU backing for Romania elections The European Commission says the elections in Romania were conducted in an orderly manner and will not affect membership talks.,ag_news:world,en
"Six Shot Dead in New Northeast India Violence (Reuters) Reuters - Suspected tribal rebels stormed\a remote village in India's northeast on Monday and shot dead\six people, police said, raising to 62 the death toll in a new\wave of violence that erupted in the region at the weekend.",ag_news:world,en
"Mob rule takes a hit as Italy fights back MAFIA investigators christened him The Ambassador. After a seven-year trial in the bunker of a Palermo jail, Sicilian senator Marcello Dell #39;Utri, an old friend and political patron of Italian Prime Minister",ag_news:world,en
"Egypt wants permanent seat on UN Security Council CAIRO - Egypt #39;s regional and international clout qualify it for a permanent seat on an expanded UN Security Council, Egyptian Foreign Minister Ahmed Aboul Gheit said on Saturday.",ag_news:world,en
"U.S. Signs Agreement Targeting Methane (AP) AP - Seeking to bolster its credentials on global warming, the United States signed an agreement Tuesday with 13 other nations that calls for investing up to #36;53 million in companies that will profitably control emissions of methane, a greenhouse gas.",ag_news:world,en
UN Panel to Look Into Genocide in Sudan's Darfur UNITED NATIONS (Reuters) - U.N. Secretary-General Kofi Annan named a five-member panel on Thursday led by Italian judge Antonio Cassese to investigate whether genocide has taken place in Sudan's Darfur region.,ag_news:world,en
"Violence spikes in southern Afghanistan, 19 killed Guerrillas from the ousted Taliban regime killed at least 12 soldiers in Afghanistan #39;s south on Thursday in a sharp escalation of violence ahead of next month #39;s landmark presidential election.",ag_news:world,en
Russia to release massacre files Russia agrees to allow Polish authorities to examine Soviet archives on what Poles call the Katyn Forest massacre of 1940.,ag_news:world,en
"Jailed Palestinian leader #39;will now run in elections #39; The jailed Palestinian leader Marwan Barghouti has changed his mind again and pledged to run in the January presidential election, officials said.",ag_news:world,en
Bush applauds Iraq debt cuts US President George Bush today applauded the decision by the so-called Paris Club of creditor nations to slash 80 per cent of the money Iraq owed them and urged non-member countries to do the same.,ag_news:world,en
Britain to set free foreign terror suspect The British government is to release a foreign national held without charge or trial under the anti-terrorism laws introduced in the wave of the Sept.,ag_news:world,en
UK urged to review terrorism laws A UN committee asks the UK to review its policy of detaining terrorism suspects without trial.,ag_news:world,en
"Iran: Compromise drafted VIENNA, Austria -- Giving Iran one last chance to avoid the threat of UN sanctions, Britain, France and Germany will offer undisclosed incentives at a meeting today in return for assurances that the Tehran regime will suspend uranium enrichment, diplomats",ag_news:world,en
"A top Taliban commander reportedly killed in raid KANDAHAR, Afghanistan -- A former inmate at the US prison camp at Guantanamo Bay, Cuba, who returned to Afghanistan to rejoin the Taliban as a key commander, was killed with two other militiamen in a raid by Afghan security forces, two senior officials said yesterday.",ag_news:world,en
Rebels suspect Sudan dragging feet Rebels in southern Sudan say they want to complete a peace agreement with the government in talks starting in Kenya on October 7 and accuse Khartoum of trying to delay the process to gain time.,ag_news:world,en
"WTO Delays Decision On E.U.'s Biotech Ban (washingtonpost.com) washingtonpost.com - BRUSSELS, Aug. 26 -- The United States will have to wait until next year to see its fight with the European Union over biotech foods resolved, as the World Trade Organization agreed to an E.U. request to bring scientists into the debate, officials said Thursday.",ag_news:world,en
"Darfur refugees say Janjaweed now working as camp guards: UN (AFP) AFP - Janjaweed militiamen, who have been accused of committing atrocities in Sudan's Darfur region, are now appearing as guards at refugee camps according refugees, a senior UN official said.",ag_news:world,en
"Taiwan President Makes Personal Appeal for UN Seat UNITED NATIONS (Reuters) - Taiwan President Chen Shui-bian made his case for U.N. membership in an unusual satellite news conference on Wednesday, saying his country was the victim of ""political apartheid"" engineered by China.",ag_news:world,en
Kenya #39;s #39;first #39; graft conviction A well known Kenyan businessman has been imprisoned in the first conviction under President Mwai Kibaki #39;s promised anti-corruption drive.,ag_news:world,en
"Parts of Ariz. Border Crackdown Continue (AP) AP - A government crackdown on illegal immigration in southern Arizona will continue beyond Sept. 30, the day the initiative was supposed to wrap up, a top Homeland Security official said Tuesday.",ag_news:world,en
"Miami Rallies to Beat Florida St. in OT MIAMI - Although Chris Rix's fumble overshadowed Xavier Beitia's blocked field goal, Florida State coach Bobby Bowden will remember them both. The mistakes cost his team dearly against Miami on Friday night, with the fifth-ranked Hurricanes rallying to beat the No...",ag_news:world,en
"When Private Passions Meet Public Journalism Should Fox News keep relying on a political reporter who privately mocked John Kerry as a well-manicured ""metrosexual""?",ag_news:world,en
"Boom times ahead for smartphones The popularity of mobiles packed with features is set to explode as they get better and cheaper, say analysts.",ag_news:world,en
"Thousands Queue for Dwindling Flu Shots SOUTH CHARLESTON, W.Va. - Seventy-year-old Homer Fink spent eight hours sitting next to a supermarket Halloween display for a flu shot that he wasn't able to get at five other places...",ag_news:world,en
"Yudhoyono confirmed as winner JAKARTA - Official results have confirmed former army general Susilo Bambang Yudhoyono as the winner of Indonesia #39;s first direct presidential election, while incumbent Megawati Sukarnoputri urged her nation Thursday to wait for the official announcement",ag_news:world,en
"Pakistan Soldiers Kill Four Militants, Truce Agreed Pakistan #39;s military and al Qaeda-linked militants agreed to a 10-day truce on Monday, the day the army killed four Islamic militants including two foreigners in a tribal region near Afghanistan, officials said.",ag_news:world,en
"Nigerian labor union to stage strike as negotiations collapse Negotiations between the Nigeria Labor Congress (NLC) and the government over rising fuel prices collapsed on Friday, forcing the labor to begin its planned strikenext week with the first phase lasting four days.",ag_news:world,en
"World ; Afghan leader Karzai sworn in under US smiles quot;This is Afghanistan #39;s best opportunity to establish a reform-oriented government, quot; said Andrew Wilder of the Afghan Research and Evaluation Unit think tank.",ag_news:world,en
"Investigators excavate mass graves in Iraq Investigators have begun to excavate at the site of a mass grave in northern Iraq which is believed to contain up to 300 bodies. The site at Hatra, south of Mosul, is believed to contain the bodies of Kurdish",ag_news:world,en
"Britain to issue first identity cards since World War II LONDON Invoking a global threat of terrorism, the British government announced plans on Tuesday to introduce national identity cards for the first time since the Second World War.",ag_news:world,en
Britain offers sweeteners to win allies for Ankara Britain will this week offer a series of concessions to France and Germany to assuage their fears about Turkish membership of the European Union.,ag_news:world,en
Showing Faith in France Asasma Butt walked up to the entrance of the Lyce Rabelais in northern Paris last Thursday - the first day of school for students across France -he did something she didn #39;t want to do.,ag_news:world,en
